origin,cylinders,model_year,mpg_level,car_company,mpg,displacement,horsepower,weight,acceleration
usa,8,70,medium,chevrolet,18.0,307.0,130.0,3504,12.0
usa,8,70,low,buick,15.0,350.0,165.0,3693,11.5
usa,8,70,medium,plymouth,18.0,318.0,150.0,3436,11.0
usa,8,70,low,amc,16.0,304.0,150.0,3433,12.0
usa,8,70,medium,ford,17.0,302.0,140.0,3449,10.5
usa,8,70,low,ford,15.0,429.0,198.0,4341,10.0
usa,8,70,low,chevrolet,14.0,454.0,220.0,4354,9.0
usa,8,70,low,plymouth,14.0,440.0,215.0,4312,8.5
usa,8,70,low,pontiac,14.0,455.0,225.0,4425,10.0
usa,8,70,low,amc,15.0,390.0,190.0,3850,8.5
usa,8,70,low,dodge,15.0,383.0,170.0,3563,10.0
usa,8,70,low,plymouth,14.0,340.0,160.0,3609,8.0
usa,8,70,low,chevrolet,15.0,400.0,150.0,3761,9.5
usa,8,70,low,buick,14.0,455.0,225.0,3086,10.0
japan,4,70,medium,toyota,24.0,113.0,95.0,2372,15.0
usa,6,70,medium,plymouth,22.0,198.0,95.0,2833,15.5
usa,6,70,medium,amc,18.0,199.0,97.0,2774,15.5
usa,6,70,medium,ford,21.0,200.0,85.0,2587,16.0
japan,4,70,medium,datsun,27.0,97.0,88.0,2130,14.5
europe,4,70,medium,volkswagen,26.0,97.0,46.0,1835,20.5
europe,4,70,medium,peugeot,25.0,110.0,87.0,2672,17.5
europe,4,70,medium,audi,24.0,107.0,90.0,2430,14.5
europe,4,70,medium,saab,25.0,104.0,95.0,2375,17.5
europe,4,70,medium,bmw,26.0,121.0,113.0,2234,12.5
usa,6,70,medium,amc,21.0,199.0,90.0,2648,15.0
usa,8,70,low,ford,10.0,360.0,215.0,4615,14.0
usa,8,70,low,chevy,10.0,307.0,200.0,4376,15.0
usa,8,70,low,dodge,11.0,318.0,210.0,4382,13.5
usa,8,70,low,hi,9.0,304.0,193.0,4732,18.5
japan,4,71,medium,datsun,27.0,97.0,88.0,2130,14.5
usa,4,71,medium,chevrolet,28.0,140.0,90.0,2264,15.5
japan,4,71,medium,toyota,25.0,113.0,95.0,2228,14.0
usa,6,71,medium,amc,19.0,232.0,100.0,2634,13.0
usa,6,71,low,plymouth,16.0,225.0,105.0,3439,15.5
usa,6,71,medium,chevrolet,17.0,250.0,100.0,3329,15.5
usa,6,71,medium,ford,19.0,250.0,88.0,3302,15.5
usa,6,71,medium,amc,18.0,232.0,100.0,3288,15.5
usa,8,71,low,chevrolet,14.0,350.0,165.0,4209,12.0
usa,8,71,low,pontiac,14.0,400.0,175.0,4464,11.5
usa,8,71,low,ford,14.0,351.0,153.0,4154,13.5
usa,8,71,low,plymouth,14.0,318.0,150.0,4096,13.0
usa,8,71,low,dodge,12.0,383.0,180.0,4955,11.5
usa,8,71,low,ford,13.0,400.0,170.0,4746,12.0
usa,8,71,low,pontiac,13.0,400.0,175.0,5140,12.0
usa,6,71,medium,amc,18.0,258.0,110.0,2962,13.5
usa,4,71,medium,chevrolet,22.0,140.0,72.0,2408,19.0
usa,6,71,medium,pontiac,19.0,250.0,100.0,3282,15.0
usa,6,71,medium,ford,18.0,250.0,88.0,3139,14.5
usa,4,71,medium,mercury,23.0,122.0,86.0,2220,14.0
europe,4,71,medium,opel,28.0,116.0,90.0,2123,14.0
europe,4,71,high,peugeot,30.0,79.0,70.0,2074,19.5
europe,4,71,high,fiat,30.0,88.0,76.0,2065,14.5
japan,4,71,high,toyota,31.0,71.0,65.0,1773,19.0
japan,4,71,high,datsun,35.0,72.0,69.0,1613,18.0
europe,4,71,medium,volkswagen,27.0,97.0,60.0,1834,19.0
usa,4,71,medium,plymouth,26.0,91.0,70.0,1955,20.5
japan,4,72,medium,toyota,24.0,113.0,95.0,2278,15.5
usa,4,72,medium,dodge,25.0,97.5,80.0,2126,17.0
europe,4,72,medium,volkswagen,23.0,97.0,54.0,2254,23.5
usa,4,72,medium,chevrolet,20.0,140.0,90.0,2408,19.5
usa,4,72,medium,ford,21.0,122.0,86.0,2226,16.5
usa,8,72,low,chevrolet,13.0,350.0,165.0,4274,12.0
usa,8,72,low,pontiac,14.0,400.0,175.0,4385,12.0
usa,8,72,low,plymouth,15.0,318.0,150.0,4135,13.5
usa,8,72,low,ford,14.0,351.0,153.0,4129,13.0
usa,8,72,medium,amc,17.0,304.0,150.0,3672,11.5
usa,8,72,low,mercury,11.0,429.0,208.0,4633,11.0
usa,8,72,low,buick,13.0,350.0,155.0,4502,13.5
usa,8,72,low,oldsmobile,12.0,350.0,160.0,4456,13.5
usa,8,72,low,chrysler,13.0,400.0,190.0,4422,12.5
japan,3,72,medium,mazda,19.0,70.0,97.0,2330,13.5
usa,8,72,low,amc,15.0,304.0,150.0,3892,12.5
usa,8,72,low,chevrolet,13.0,307.0,130.0,4098,14.0
usa,8,72,low,ford,13.0,302.0,140.0,4294,16.0
usa,8,72,low,plymouth,14.0,318.0,150.0,4077,14.0
europe,4,72,medium,volvo,18.0,121.0,112.0,2933,14.5
europe,4,72,medium,volkswagen,22.0,121.0,76.0,2511,18.0
europe,4,72,medium,peugeot,21.0,120.0,87.0,2979,19.5
europe,4,72,medium,renault,26.0,96.0,69.0,2189,18.0
usa,4,72,medium,ford,22.0,122.0,86.0,2395,16.0
japan,4,72,medium,datsun,28.0,97.0,92.0,2288,17.0
japan,4,72,medium,toyouta,23.0,120.0,97.0,2506,14.5
usa,4,72,medium,dodge,28.0,98.0,80.0,2164,15.0
japan,4,72,medium,toyota,27.0,97.0,88.0,2100,16.5
usa,8,73,low,buick,13.0,350.0,175.0,4100,13.0
usa,8,73,low,amc,14.0,304.0,150.0,3672,11.5
usa,8,73,low,chevrolet,13.0,350.0,145.0,3988,13.0
