origin,name,cylinders,model_year,mpg,displacement,horsepower,weight,acceleration
usa,chevrolet chevelle malibu,8,70,18.0,307.0,130.0,3504,12.0
usa,buick skylark 320,8,70,15.0,350.0,165.0,3693,11.5
usa,plymouth satellite,8,70,18.0,318.0,150.0,3436,11.0
usa,amc rebel sst,8,70,16.0,304.0,150.0,3433,12.0
usa,ford torino,8,70,17.0,302.0,140.0,3449,10.5
usa,ford galaxie 500,8,70,15.0,429.0,198.0,4341,10.0
usa,chevrolet impala,8,70,14.0,454.0,220.0,4354,9.0
usa,plymouth fury iii,8,70,14.0,440.0,215.0,4312,8.5
usa,pontiac catalina,8,70,14.0,455.0,225.0,4425,10.0
usa,amc ambassador dpl,8,70,15.0,390.0,190.0,3850,8.5
usa,dodge challenger se,8,70,15.0,383.0,170.0,3563,10.0
usa,plymouth 'cuda 340,8,70,14.0,340.0,160.0,3609,8.0
usa,chevrolet monte carlo,8,70,15.0,400.0,150.0,3761,9.5
usa,buick estate wagon (sw),8,70,14.0,455.0,225.0,3086,10.0
japan,toyota corona mark ii,4,70,24.0,113.0,95.0,2372,15.0
usa,plymouth duster,6,70,22.0,198.0,95.0,2833,15.5
usa,amc hornet,6,70,18.0,199.0,97.0,2774,15.5
usa,ford maverick,6,70,21.0,200.0,85.0,2587,16.0
japan,datsun pl510,4,70,27.0,97.0,88.0,2130,14.5
europe,volkswagen 1131 deluxe sedan,4,70,26.0,97.0,46.0,1835,20.5
europe,peugeot 504,4,70,25.0,110.0,87.0,2672,17.5
europe,audi 100 ls,4,70,24.0,107.0,90.0,2430,14.5
europe,saab 99e,4,70,25.0,104.0,95.0,2375,17.5
europe,bmw 2002,4,70,26.0,121.0,113.0,2234,12.5
usa,amc gremlin,6,70,21.0,199.0,90.0,2648,15.0
usa,ford f250,8,70,10.0,360.0,215.0,4615,14.0
usa,chevy c20,8,70,10.0,307.0,200.0,4376,15.0
usa,dodge d200,8,70,11.0,318.0,210.0,4382,13.5
usa,hi 1200d,8,70,9.0,304.0,193.0,4732,18.5
japan,datsun pl510,4,71,27.0,97.0,88.0,2130,14.5
usa,chevrolet vega 2300,4,71,28.0,140.0,90.0,2264,15.5
japan,toyota corona,4,71,25.0,113.0,95.0,2228,14.0
usa,amc gremlin,6,71,19.0,232.0,100.0,2634,13.0
usa,plymouth satellite custom,6,71,16.0,225.0,105.0,3439,15.5
usa,chevrolet chevelle malibu,6,71,17.0,250.0,100.0,3329,15.5
usa,ford torino 500,6,71,19.0,250.0,88.0,3302,15.5
usa,amc matador,6,71,18.0,232.0,100.0,3288,15.5
usa,chevrolet impala,8,71,14.0,350.0,165.0,4209,12.0
usa,pontiac catalina brougham,8,71,14.0,400.0,175.0,4464,11.5
usa,ford galaxie 500,8,71,14.0,351.0,153.0,4154,13.5
usa,plymouth fury iii,8,71,14.0,318.0,150.0,4096,13.0
usa,dodge monaco (sw),8,71,12.0,383.0,180.0,4955,11.5
usa,ford country squire (sw),8,71,13.0,400.0,170.0,4746,12.0
usa,pontiac safari (sw),8,71,13.0,400.0,175.0,5140,12.0
usa,amc hornet sportabout (sw),6,71,18.0,258.0,110.0,2962,13.5
usa,chevrolet vega (sw),4,71,22.0,140.0,72.0,2408,19.0
usa,pontiac firebird,6,71,19.0,250.0,100.0,3282,15.0
usa,ford mustang,6,71,18.0,250.0,88.0,3139,14.5
usa,mercury capri 2000,4,71,23.0,122.0,86.0,2220,14.0
europe,opel 1900,4,71,28.0,116.0,90.0,2123,14.0
europe,peugeot 304,4,71,30.0,79.0,70.0,2074,19.5
europe,fiat 124b,4,71,30.0,88.0,76.0,2065,14.5
japan,toyota corolla 1200,4,71,31.0,71.0,65.0,1773,19.0
japan,datsun 1200,4,71,35.0,72.0,69.0,1613,18.0
europe,volkswagen model 111,4,71,27.0,97.0,60.0,1834,19.0
usa,plymouth cricket,4,71,26.0,91.0,70.0,1955,20.5
japan,toyota corona hardtop,4,72,24.0,113.0,95.0,2278,15.5
usa,dodge colt hardtop,4,72,25.0,97.5,80.0,2126,17.0
europe,volkswagen type 3,4,72,23.0,97.0,54.0,2254,23.5
usa,chevrolet vega,4,72,20.0,140.0,90.0,2408,19.5
usa,ford pinto runabout,4,72,21.0,122.0,86.0,2226,16.5
usa,chevrolet impala,8,72,13.0,350.0,165.0,4274,12.0
usa,pontiac catalina,8,72,14.0,400.0,175.0,4385,12.0
usa,plymouth fury iii,8,72,15.0,318.0,150.0,4135,13.5
usa,ford galaxie 500,8,72,14.0,351.0,153.0,4129,13.0
usa,amc ambassador sst,8,72,17.0,304.0,150.0,3672,11.5
usa,mercury marquis,8,72,11.0,429.0,208.0,4633,11.0
usa,buick lesabre custom,8,72,13.0,350.0,155.0,4502,13.5
usa,oldsmobile delta 88 royale,8,72,12.0,350.0,160.0,4456,13.5
usa,chrysler newport royal,8,72,13.0,400.0,190.0,4422,12.5
japan,mazda rx2 coupe,3,72,19.0,70.0,97.0,2330,13.5
usa,amc matador (sw),8,72,15.0,304.0,150.0,3892,12.5
usa,chevrolet chevelle concours (sw),8,72,13.0,307.0,130.0,4098,14.0
usa,ford gran torino (sw),8,72,13.0,302.0,140.0,4294,16.0
usa,plymouth satellite custom (sw),8,72,14.0,318.0,150.0,4077,14.0
europe,volvo 145e (sw),4,72,18.0,121.0,112.0,2933,14.5
europe,volkswagen 411 (sw),4,72,22.0,121.0,76.0,2511,18.0
europe,peugeot 504 (sw),4,72,21.0,120.0,87.0,2979,19.5
europe,renault 12 (sw),4,72,26.0,96.0,69.0,2189,18.0
usa,ford pinto (sw),4,72,22.0,122.0,86.0,2395,16.0
japan,datsun 510 (sw),4,72,28.0,97.0,92.0,2288,17.0
japan,toyouta corona mark ii (sw),4,72,23.0,120.0,97.0,2506,14.5
usa,dodge colt (sw),4,72,28.0,98.0,80.0,2164,15.0
japan,toyota corolla 1600 (sw),4,72,27.0,97.0,88.0,2100,16.5
usa,buick century 350,8,73,13.0,350.0,175.0,4100,13.0
usa,amc matador,8,73,14.0,304.0,150.0,3672,11.5
usa,chevrolet malibu,8,73,13.0,350.0,145.0,3988,13.0
usa,ford gran torino,8,73,14.0,302.0,137.0,4042,14.5
usa,dodge coronet custom,8,73,15.0,318.0,150.0,3777,12.5
usa,mercury marquis brougham,8,73,12.0,429.0,198.0,4952,11.5
usa,chevrolet caprice classic,8,73,13.0,400.0,150.0,4464,12.0
usa,ford ltd,8,73,13.0,351.0,158.0,4363,13.0
usa,plymouth fury gran sedan,8,73,14.0,318.0,150.0,4237,14.5
usa,chrysler new yorker brougham,8,73,13.0,440.0,215.0,4735,11.0
usa,buick electra 225 custom,8,73,12.0,455.0,225.0,4951,11.0
usa,amc ambassador brougham,8,73,13.0,360.0,175.0,3821,11.0
usa,plymouth valiant,6,73,18.0,225.0,105.0,3121,16.5
usa,chevrolet nova custom,6,73,16.0,250.0,100.0,3278,18.0
usa,amc hornet,6,73,18.0,232.0,100.0,2945,16.0
usa,ford maverick,6,73,18.0,250.0,88.0,3021,16.5
usa,plymouth duster,6,73,23.0,198.0,95.0,2904,16.0
europe,volkswagen super beetle,4,73,26.0,97.0,46.0,1950,21.0
usa,chevrolet impala,8,73,11.0,400.0,150.0,4997,14.0
usa,ford country,8,73,12.0,400.0,167.0,4906,12.5
usa,plymouth custom suburb,8,73,13.0,360.0,170.0,4654,13.0
usa,oldsmobile vista cruiser,8,73,12.0,350.0,180.0,4499,12.5
usa,amc gremlin,6,73,18.0,232.0,100.0,2789,15.0
japan,toyota carina,4,73,20.0,97.0,88.0,2279,19.0
usa,chevrolet vega,4,73,21.0,140.0,72.0,2401,19.5
japan,datsun 610,4,73,22.0,108.0,94.0,2379,16.5
japan,maxda rx3,3,73,18.0,70.0,90.0,2124,13.5
usa,ford pinto,4,73,19.0,122.0,85.0,2310,18.5
usa,mercury capri v6,6,73,21.0,155.0,107.0,2472,14.0
europe,fiat 124 sport coupe,4,73,26.0,98.0,90.0,2265,15.5
usa,chevrolet monte carlo s,8,73,15.0,350.0,145.0,4082,13.0
usa,pontiac grand prix,8,73,16.0,400.0,230.0,4278,9.5
europe,fiat 128,4,73,29.0,68.0,49.0,1867,19.5
europe,opel manta,4,73,24.0,116.0,75.0,2158,15.5
europe,audi 100ls,4,73,20.0,114.0,91.0,2582,14.0
europe,volvo 144ea,4,73,19.0,121.0,112.0,2868,15.5
usa,dodge dart custom,8,73,15.0,318.0,150.0,3399,11.0
europe,saab 99le,4,73,24.0,121.0,110.0,2660,14.0
japan,toyota mark ii,6,73,20.0,156.0,122.0,2807,13.5
usa,oldsmobile omega,8,73,11.0,350.0,180.0,3664,11.0
usa,plymouth duster,6,74,20.0,198.0,95.0,3102,16.5
usa,amc hornet,6,74,19.0,232.0,100.0,2901,16.0
usa,chevrolet nova,6,74,15.0,250.0,100.0,3336,17.0
japan,datsun b210,4,74,31.0,79.0,67.0,1950,19.0
