Season,Winner,Runner-up,Third Place,Top Scorer,Top scorer's club(s),Goals
1929,Barcelona ,Real Madrid ,Athletic Bilbao,Paco Bienzobas,Real Sociedad,14
1929–30,Athletic Bilbao ,Barcelona ,Arenas,Guillermo Gorostiza,Athletic Bilbao,19
1930–31,Athletic Bilbao ,Racing Santander ,Real Sociedad,Agustín Sauto Arana,Athletic Bilbao,27
1931–32,Real Madrid ,Athletic Bilbao ,Barcelona,Guillermo Gorostiza,Athletic Bilbao,12
1932–33,Real Madrid ,Athletic Bilbao ,Espanyol,Manuel Olivares,Real Madrid,16
1933–34,Athletic Bilbao ,Real Madrid ,Racing Santander,Isidro Lángara,Real Oviedo,27
1934–35,Real Betis ,Real Madrid ,Real Oviedo,Isidro Lángara,Real Oviedo,26
1935–36,Athletic Bilbao ,Real Madrid ,Real Oviedo,Isidro Lángara,Real Oviedo,27
1936–37,Spanish Civil War League Cancelled,Spanish Civil War League Cancelled,Spanish Civil War (League Cancelled),Spanish Civil War (League Cancelled),Spanish Civil War (League Cancelled),Spanish Civil War (League Cancelled)
1937–38,Spanish Civil War League Cancelled,Spanish Civil War League Cancelled,Spanish Civil War (League Cancelled),Spanish Civil War (League Cancelled),Spanish Civil War (League Cancelled),Spanish Civil War (League Cancelled)
1938–39,Spanish Civil War League Cancelled,Spanish Civil War League Cancelled,Spanish Civil War (League Cancelled),Spanish Civil War (League Cancelled),Spanish Civil War (League Cancelled),Spanish Civil War (League Cancelled)
1939–40,Atlético Aviación[a] ,Sevilla ,Athletic Bilbao,Víctor Unamuno,Athletic Bilbao,22
1940–41,Atlético Aviación[a] ,Athletic Bilbao ,Valencia,Pruden,Atlético Aviación,30
1941–42,Valencia ,Real Madrid ,Atlético Aviación,Edmundo Suárez,Valencia,27
1942–43,Athletic Bilbao ,Sevilla ,Barcelona,Mariano Martín,Barcelona,32
1943–44,Valencia ,Atlético Aviación ,Sevilla,Edmundo Suárez,Valencia,27
1944–45,Barcelona ,Real Madrid ,Atlético Aviación,Telmo Zarra,Atlético Bilbao,19
1945–46,Sevilla ,Barcelona ,Athletic Bilbao,Telmo Zarra,Atlético Bilbao,24
1946–47,Valencia ,Athletic Bilbao ,Atlético Aviación,Telmo Zarra,Atlético Bilbao,34
1947–48,Barcelona ,Valencia ,Atlético Madrid,Pahiño,Celta Vigo,23
1948–49,Barcelona ,Valencia ,Real Madrid,César Rodríguez Álvarez,Barcelona,28
1949–50,Atlético Madrid ,Deportivo La Coruña ,Valencia,Telmo Zarra,Athletic Bilbao,25
1950–51,Atlético Madrid ,Sevilla ,Valencia,Telmo Zarra,Athletic Bilbao,38
1951–52,Barcelona ,Athletic Bilbao ,Real Madrid,Pahiño,Real Madrid,28
1952–53,Barcelona ,Valencia ,Real Madrid,Telmo Zarra,Athletic Bilbao,24
1953–54,Real Madrid ,Barcelona ,Valencia,Alfredo Di Stéfano,Real Madrid,27
1954–55,Real Madrid ,Barcelona ,Athletic Bilbao,Juan Arza,Sevilla,28
1955–56,Athletic Bilbao ,Barcelona ,Real Madrid,Alfredo Di Stéfano,Real Madrid,24
1956–57,Real Madrid  ,Sevilla ,Barcelona,Alfredo Di Stéfano,Real Madrid,31
1957–58,Real Madrid  ,Atlético Madrid ,Barcelona,Manuel BadenesAlfredo Di StéfanoRicardo,ValladolidReal MadridValencia,19
1958–59,Barcelona ,Real Madrid ,Athletic Bilbao,Alfredo Di Stéfano,Real Madrid,23
1959–60,Barcelona ,Real Madrid ,Athletic Bilbao,Ferenc Puskás,Real Madrid,26
1960–61,Real Madrid ,Atlético Madrid ,Real Zaragoza,Ferenc Puskás,Real Madrid,27
1961–62,Real Madrid ,Barcelona ,Atlético Madrid,Juan Seminario,Zaragoza,25
1962–63,Real Madrid ,Atlético Madrid ,Real Oviedo,Ferenc Puskás,Real Madrid,26
1963–64,Real Madrid ,Barcelona ,Real Betis,Ferenc Puskás,Real Madrid,20
1964–65,Real Madrid ,Atlético Madrid ,Zaragoza,Cayetano Ré,Barcelona,25
1965–66,Atlético Madrid ,Real Madrid ,Barcelona,Vavá,Elche,19
1966–67,Real Madrid ,Barcelona ,Espanyol,Waldo Machado,Valencia,24
1967–68,Real Madrid ,Barcelona ,Las Palmas,Fidel Uriarte,Athletic Bilbao,22
1968–69,Real Madrid ,Las Palmas ,Barcelona,Amancio AmaroJosé Eulogio Gárate,Real MadridAtlético Madrid,14
1969–70,Atlético Madrid ,Athletic Bilbao ,Sevilla,Amancio AmaroLuis AragonésJosé Eulogio Gárate,Real MadridAtlético MadridAtlético Madrid,16
1970–71,Valencia ,Barcelona ,Atlético Madrid,José Eulogio GárateCarles Rexach,Atlético MadridBarcelona,17
1971–72,Real Madrid ,Valencia ,Barcelona,Enrique Porta,Granada,20
