Concello,CODIGOINE,poboacion
Sarreaus,32078,1114.0
Taboadela,32079,1452.0
"Bola, A",32014,1075.0
Maside,32045,2718.0
Trasmiras,32082,1261.0
Carballeda de Avia,32018,1249.0
Abegondo,15001,5494.0
Ames,15002,31993.0
Aranga,15003,1833.0
Ares,15004,5997.0
Arteixo,15005,32894.0
Arzúa,15006,5964.0
"Baña, A",15007,3389.0
Bergondo,15008,6817.0
Betanzos,15009,13030.0
Boimorto,15010,1943.0
Boiro,15011,18955.0
Boqueixón,15012,4186.0
Brión,15013,7957.0
Cabana de Bergantiños,15014,4185.0
Cabanas,15015,3359.0
Camariñas,15016,5224.0
Cambre,15017,24616.0
Toques,15083,1101.0
Tordoia,15084,3228.0
Touro,15085,3495.0
Trazo,15086,3059.0
Valdoviño,15087,6872.0
"Capela, A",15018,1242.0
Carballo,15019,31414.0
Carnota,15020,3854.0
Carral,15021,6574.0
Cedeira,15022,6650.0
Cee,15023,7568.0
Vilarmaior,15091,1219.0
Vimianzo,15092,6925.0
Zas,15093,4384.0
Cariño,15901,3763.0
Oza-Cesuras,15902,5170.0
Abadín,27001,2297.0
Verea,32084,914.0
Cerceda,15024,4996.0
Cerdido,15025,1075.0
Coirós,15027,1873.0
Corcubión,15028,1606.0
Coristanco,15029,5878.0
"Coruña, A",15030,245468.0
Culleredo,15031,30758.0
Curtis,15032,4081.0
Dodro,15033,2710.0
Dumbría,15034,2927.0
Fene,15035,12832.0
Ferrol,15036,64785.0
Fisterra,15037,4714.0
Frades,15038,2306.0
Irixoa,15039,1340.0
Laxe,15040,3004.0
"Laracha, A",15041,11521.0
Lousame,15042,3235.0
Malpica de Bergantiños,15043,5332.0
Mañón,15044,1309.0
Mazaricos,15045,3806.0
Melide,15046,7427.0
Mesía,15047,2479.0
Miño,15048,6423.0
Moeche,15049,1200.0
Monfero,15050,1908.0
Mugardos,15051,5226.0
Muxía,15052,4564.0
Muros,15053,8399.0
Narón,15054,38913.0
Neda,15055,5032.0
Negreira,15056,6775.0
Noia,15057,14240.0
Oleiros,15058,36922.0
Ordes,15059,12605.0
Oroso,15060,7530.0
Ortigueira,15061,5485.0
Outes,15062,6150.0
Paderne,15064,2393.0
Padrón,15065,8317.0
"Pino, O",15066,4639.0
"Pobra do Caramiñal, A",15067,9291.0
Ponteceso,15068,5457.0
Pontedeume,15069,7687.0
"Pontes de García Rodríguez, As",15070,10032.0
Porto do Son,15071,9155.0
Rianxo,15072,11004.0
Ribeira,15073,26839.0
Rois,15074,4493.0
Sada,15075,16382.0
San Sadurniño,15076,2812.0
Santa Comba,15077,9359.0
Santiago de Compostela,15078,97858.0
Santiso,15079,1529.0
Sobrado,15080,1778.0
"Somozas, As",15081,1076.0
Teo,15082,18778.0
Val do Dubra,15088,3816.0
Vedra,15089,5032.0
Vilasantar,15090,1219.0
Alfoz,27002,1610.0
Melón,32046,1135.0
Antas de Ulla,27003,1935.0
Baleira,27004,1190.0
Barreiros,27005,3001.0
Bóveda,27008,1407.0
Carballedo,27009,2123.0
Becerreá,27006,2826.0
Castro de Rei,27010,5110.0
Friol,27020,3682.0
Begonte,27007,2976.0
Cospeito,27015,4374.0
Chantada,27016,8134.0
Folgoso do Courel,27017,989.0
"Fonsagrada, A",27018,3328.0
Foz,27019,10078.0
Xermade,27021,1768.0
Castroverde,27011,2609.0
Triacastela,27062,627.0
Cervantes,27012,1288.0
Cervo,27013,4192.0
"Corgo, O",27014,3440.0
Guitiriz,27022,5455.0
Guntín,27023,2638.0
"Incio, O",27024,1521.0
Xove,27025,3360.0
Láncara,27026,2551.0
Baralla,27901,2445.0
Burela,27902,9428.0
Lourenzá,27027,2129.0
Lugo,27028,97613.0
Meira,27029,1731.0
Mondoñedo,27030,3480.0
Monforte de Lemos,27031,18242.0
Monterroso,27032,3562.0
Muras,27033,611.0
Navia de Suarna,27034,1041.0
Negueira de Muñiz,27035,223.0
Allariz,32001,6314.0
"Nogais, As",27037,1018.0
Ourol,27038,984.0
Gomesende,32033,693.0
Outeiro de Rei,27039,5216.0
Xunqueira de Ambía,32036,1366.0
Palas de Rei,27040,3316.0
Pantón,27041,2429.0
Paradela,27042,1723.0
Xunqueira de Espadanedo,32037,738.0
"Páramo, O",27043,1347.0
"Pastoriza, A",27044,2918.0
Larouco,32038,427.0
Pedrafita do Cebreiro,27045,943.0
Laza,32039,1222.0
Pol,27046,1634.0
Baltar,32005,919.0
"Pobra do Brollón, A",27047,1615.0
"Pontenova, A",27048,2207.0
Portomarín,27049,1382.0
Quiroga,27050,3151.0
Ribadeo,27051,9871.0
Ribas de Sil,27052,946.0
Barbadás,32008,11022.0
Ribeira de Piquín,27053,513.0
Riotorto,27054,1213.0
Samos,27055,1222.0
Rábade,27056,1524.0
Sarria,27057,13257.0
"Saviñao, O",27058,3589.0
"Blancos, Os",32012,745.0
Sober,27059,2243.0
Taboada,27060,2689.0
Trabada,27061,1114.0
"Valadouro, O",27063,1960.0
"Vicedo, O",27064,1657.0
Vilalba,27065,14006.0
Viveiro,27066,15312.0
Amoeiro,32002,2333.0
"Arnoia, A",32003,952.0
Avión,32004,1738.0
Bande,32006,1490.0
Baños de Molgas,32007,1483.0
"Barco de Valdeorras, O",32009,13384.0
Beade,32010,379.0
Beariz,32011,971.0
Boborás,32013,2206.0
"Bolo, O",32015,828.0
Calvos de Randín,32016,717.0
Castrelo de Miño,32022,1321.0
Carballeda de Valdeorras,32017,1460.0
"Carballiño, O",32019,13911.0
Cartelle,32020,2570.0
